Doc Name,Bill NO.,Doc URL
"
                                    AN ACT FOR THE INSTITUTIONS OF HIGHER EDUCATION REAPPROPRIATION.
                                ",SB286,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=181.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO REQUIRE ADDITIONAL TRAINING ON SCHOOL SAFETY AND STUDENT DISCIPLINE FOR BOARD MEMBERS; TO STANDARDIZE THE TRAINING REQUIREMENTS REPORT; AND TO INCREASE THE TIME BY WHICH A BOARD MEMBER MAY CURE A TRAINING HOUR DEFICIENCY.
                                ",HB1102,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=182.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE LAW CONCERNING THE AUTHORITY TO AWARD A MEDAL, RIBBON, OR DECORATION TO A MEMBER OF THE ORGANIZED MILITIA; AND TO AUTHORIZE THE PRESENTATION OF AN AWARD TO CERTAIN PERSONS AND GROUPS.
                                ",HB1122,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=183.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE LAW CONCERNING THE POWERS, DUTIES, AND IMMUNITIES OF THE ORGANIZED MILITIA.
                                ",HB1123,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=184.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO AMEND THE PUNITIVE ARTICLES OF THE MILITARY CODE OF ARKANSAS CONCERNING SEXUAL ASSAULT AND SEXUAL CONTACT.
                                ",HB1124,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=185.pdf&ddBienniumSession=2021%2F2021R
"
                                    CONCERNING UNIFIED COMMAND OF LAW ENFORCEMENT AGENCIES IN AND AROUND THE STATE CAPITOL IN THE EVENT OF A CIVIL DISTURBANCE OR A CRIME IN PROGRESS.
                                ",HB1236,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=186.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO ALLOW CONFIDENTIAL JUVENILE RECORDS TO BE RELEASED TO THE DEPARTMENT OF CORRECTIONS.
                                ",HB1245,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=187.pdf&ddBienniumSession=2021%2F2021R
"
                                    TO ALLOW A COUNTY TO AUTHORIZE THE OPERATION OF GOLF CARTS ON CERTAIN COUNTY ROADS BY ORDINANCE; TO DECLARE AN EMERGENCY.
                                ",HB1269,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=188.pdf&ddBienniumSession=2021%2F2021R
