Doc Name,Bill NO.,Doc URL
"
                                    AN ACT FOR THE ARKANSAS STATE UNIVERSITY THREE RIVERS APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB200,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=161.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE UNIVERSITY OF ARKANSAS AT MONTICELLO APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB213,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=162.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE UNIVERSITY OF CENTRAL ARKANSAS APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB215,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=163.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE SOUTHEAST ARKANSAS COLLEGE APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB216,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=164.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE UNIVERSITY OF ARKANSAS - FAYETTEVILLE APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB220,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=165.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE SAU-TECH APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB224,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=166.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF HUMAN SERVICES - DIVISION OF COUNTY OPERATIONS REAPPROPRIATION.
                                ",SB266,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=167.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF FINANCE AND ADMINISTRATION - DISBURSING OFFICER REAPPROPRIATION.
                                ",SB267,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=168.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF AGRICULTURE REAPPROPRIATION.
                                ",SB268,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=169.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF TRANSFORMATION AND SHARED SERVICES - BUILDING AUTHORITY DIVISION REAPPROPRIATION.
                                ",SB269,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=170.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF FINANCE AND ADMINISTRATION REAPPROPRIATION.
                                ",SB270,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=171.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF TRANSFORMATION AND SHARED SERVICES - ARKANSAS GEOGRAPHIC INFORMATION SYSTEMS OFFICE REAPPROPRIATION.
                                ",SB271,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=172.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF EDUCATION - DIVISION OF ELEMENTARY AND SECONDARY EDUCATION REAPPROPRIATION.
                                ",SB272,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=173.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE ARKANSAS PUBLIC DEFENDER COMMISSION REAPPROPRIATION.
                                ",SB273,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=174.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF COMMERCE - STATE INSURANCE DEPARTMENT REAPPROPRIATION.
                                ",SB274,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=175.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF HEALTH REAPPROPRIATION.
                                ",SB275,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=176.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF EDUCATION - EDUCATIONAL TELEVISION DIVISION REAPPROPRIATION.
                                ",SB276,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=177.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF THE MILITARY REAPPROPRIATION.
                                ",SB277,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=178.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF ENERGY AND ENVIRONMENT - ARKANSAS GEOLOGICAL SURVEY REAPPROPRIATION.
                                ",SB279,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=179.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF HUMAN SERVICES - DIVISION OF YOUTH SERVICES REAPPROPRIATION.
                                ",SB285,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=180.pdf&ddBienniumSession=2021%2F2021R
